id,ukg_location_id,motive_group_id,motive_group_name,consolidated_site,region,super_region,sage_department_id,timezone
160,UNMCH,181843,Sarabia's Trailers,TX - Sarabia's,West,,,America/Denver
161,UNMCH,181840,TX - Sarabia's,TX - Sarabia's,West,,,America/Denver
162,UNMCH,186110,AZ - Rent A Can,AZ - Rent A Can,West,,,America/Phoenix
163,UNMCH,188872,AZ - Rent A Can - Trailers,AZ - Rent A Can,West,,,America/Phoenix
164,UNMCH,188871,AZ - Rent A Can - Vehicles,AZ - Rent A Can,West,,,America/Phoenix
170,LAF,171500,LA - Event Solutions,LA - Event Solutions,Gulf South,,,America/Chicago
172,LAF,171804,LA - Event Solutions - Leesville,LA - Event Solutions,Gulf South,,,America/Chicago
173,LAF,171502,LA - Event Solutions - Sulphur,LA - Event Solutions,Gulf South,,,America/Chicago
174,PEC,171503,TX - Event Solutions Vehicles - Pecos,LA - Event Solutions,Gulf South,,,America/Chicago
175,LAF,174044,LA - Event Solutions - LAF (PC),LA - Event Solutions,Gulf South,,,America/Chicago
176,LCNM,117773,Las Cruces,TX - Forza,West,,,America/Denver
224,NEWAL,263175,IN - A1 Porta Potty,IN - A1 Porta Potty,North,East,1041,America/New_York
188,ORANGE,205103,CA - Pacific Portable Services,CA - Pacific Portable Services,West,West,1039,America/Los_Angeles
189,ORANGE,205104,CA - Pacific Portable Services - Fence Trucks,CA - Pacific Portable Services,West,West,1039,America/Los_Angeles
190,ORANGE,205105,CA - Pacific Portable Services - Pump Trucks,CA - Pacific Portable Services,West,West,1039,America/Los_Angeles
191,ORANGE,205106,CA - Pacific Portable Services - Trailers,CA - Pacific Portable Services,West,West,1039,America/Los_Angeles
192,DENVER,208878,CO - Colorado Portables,CO - Colorado Portables,West,West,1040,America/Denver
193,DENVER,208879,CO - Colorado Portables - Pick Up Trucks,CO - Colorado Portables,West,West,1040,America/Denver
194,DENVER,208880,CO - Colorado Portables - Pump Trucks,CO - Colorado Portables,West,West,1040,America/Denver
195,DENVER,208882,CO - Colorado Portables - Restroom Trailers,CO - Colorado Portables,West,West,1040,America/Denver
225,NEWAL,263186,IN - A1 Porta Potty - Admin / Maint Trucks,IN - A1 Porta Potty,North,East,1041,America/New_York
226,NEWAL,263183,IN - A1 Porta Potty - Fence Trucks,IN - A1 Porta Potty,North,East,1041,America/New_York
227,NEWAL,263182,IN - A1 Porta Potty - Pump Trucks,IN - A1 Porta Potty,North,East,1041,America/New_York
228,NEWAL,263185,IN - A1 Porta Potty - Roll Off Trucks,IN - A1 Porta Potty,North,East,1041,America/New_York
229,NEWAL,263188,IN - A1 Porta Potty - Sweep Trucks,IN - A1 Porta Potty,North,East,1041,America/New_York
230,NEWAL,263189,IN - A1 Porta Potty -  Restroom Trailers,IN - A1 Porta Potty,North,East,1041,America/New_York
196,ESOL,171500,LA - Event Solutions,LA - Event Solutions,Gulf South,West,1035,America/Chicago
198,ESOL,171502,LA - Event Solutions - Sulphur,LA - Event Solutions,Gulf South,East,1035,America/Chicago
199,ESOL,171804,LA - Event Solutions - Leesville,LA - Event Solutions,Gulf South,East,1036,America/Chicago
181,UNMCH,208880,CO - Colorado Portables - Pump Trucks,CO - Colorado Portables,West,,,America/Denver
182,UNMCH,208879,CO - Colorado Portables - Pick Up Trucks,CO - Colorado Portables,West,,,America/Denver
183,UNMCH,208878,CO - Colorado Portables,CO - Colorado Portables,West,,,America/Denver
184,UNMCH,208882,CO - Colorado Portables - Restroom Trailers,CO - Colorado Portables,West,,,America/Denver
177,UNMCH,205103,CA - Pacific Portable Services,CA - Pacific Portable Services,West,,,America/Los_Angeles
178,UNMCH,205105,CA - Pacific Portable Services - Pump Trucks,CA - Pacific Portable Services,West,,,America/Los_Angeles
179,UNMCH,205104,CA - Pacific Portable Services - Fence Trucks,CA - Pacific Portable Services,West,,,America/Los_Angeles
180,UNMCH,205106,CA - Pacific Portable Services - Trailers,CA - Pacific Portable Services,West,,,America/Los_Angeles
185,CASA,186110,AZ - Rent A Can,AZ - Rent A Can,West,West,1038,America/Phoenix
171,LAF,171501,LA - Event Solutions - LAF (ES),LA - Event Solutions,Gulf South,,,America/Chicago
186,CASA,188871,AZ - Rent A Can - Vehicles,AZ - Rent A Can,West,West,1038,America/Phoenix
187,CASA,188872,AZ - Rent A Can - Trailers,AZ - Rent A Can,West,West,1038,America/Phoenix
200,ESOL,174044,LA - Event Solutions - LAF (PC),LA - Event Solutions,Gulf South,East,1036,America/Chicago
201,ESOLTX,171503,TX - Event Solutions Vehicles - Pecos,LA - Event Solutions,Gulf South,East,1036,America/Chicago
202,NEWAL,96455,NY - A - 1 Portable Toilets,NY - A - John,North,West,1016,America/New_York
85,UNMCH,162497,AZ - Stamback - VIP Trailers,AZ - Stamback,West,,,America/Phoenix
86,UNMCH,162377,AZ - Stamback Admin,AZ - Stamback,West,,,America/Phoenix
203,WLDNNY,96457,NY - A - John,NY - A - John,North,West,1016,America/New_York
204,OHIO,50049,OH - Rent - A - John,OH - Rent - A - John,North,West,1010,America/New_York
87,UNMCH,162372,AZ - Stamback Rolloffs,AZ - Stamback,West,,,America/Phoenix
88,UNMCH,161452,AZ - Stamback Septic,AZ - Stamback,West,,,America/Phoenix
89,UNMCH,162375,AZ - Stamback Toilets,AZ - Stamback,West,,,America/Phoenix
97,KER,117031,KERMIT,TX - Forza,West,,,America/Chicago
98,LCNM,117031,KERMIT,TX - Forza,West,,,America/Denver
99,KER,119589,Kermit HD,TX - Forza,West,,,America/Chicago
100,MID,119589,Kermit HD,TX - Forza,West,,,America/Chicago
107,UNMCH,171500,LA - Event Solutions,LA - Event Solutions,Gulf South,,,America/Chicago
108,UNMCH,171501,LA - Event Solutions - LAF,LA - Event Solutions,Gulf South,,,America/Chicago
109,UNMCH,171804,LA - Event Solutions - Leesville,LA - Event Solutions,Gulf South,,,America/Chicago
110,UNMCH,171502,LA - Event Solutions - Sulphur,LA - Event Solutions,Gulf South,,,America/Chicago
111,UNMCH,117773,Las Cruces,TX - Forza,West,,,America/Chicago
112,LUB,117030,LUBBOCK,TX - Forza,West,,,America/Chicago
113,LUB,119588,Lubbock HD,TX - Forza,West,,,America/Chicago
114,KER,117032,MIDLAND,TX - Forza,West,,,America/Chicago
115,MID,117032,MIDLAND,TX - Forza,West,,,America/Chicago
116,MID,119590,Midland HD,TX - Forza,West,,,America/Chicago
122,CLT,55551,NC - Greensboro,NC - ASC,Southeast,,,America/New_York
126,WLDN,96455,NY - A - 1 Portable Toilets,NY - A - John,North,,,America/New_York
127,WLDN,96457,NY - A - John,NY - A - John,North,,,America/New_York
129,COLOH,50049,OH - Rent - A - John,OH - Rent - A - John,North,,,America/New_York
130,MALVPA,99738,PA - Malvern,PA - Port A Bowl,North,,,America/New_York
133,SANG,117033,SAN ANGELO- TOPS SEPTIC,TX - Forza,West,,,America/Chicago
136,MID,117035,SEMINOLE,TX - Forza,West,,,America/Chicago
137,SEM,117035,SEMINOLE,TX - Forza,West,,,America/Chicago
151,UNMCH,171503,TX - Event Solutions - Pecos,LA - Event Solutions,Gulf South,,,America/Chicago
152,LCNM,146102,TX - Forza,TX - Forza,West,,,America/Denver
153,LUB,146102,TX - Forza,TX - Forza,West,,,America/Chicago
154,BURN,150933,TX - J Bar,TX - J Bar,West,,,America/Chicago
